Mois,Heure,Type,Nombre_De_Vols
9,8,Arrivée,56
9,8,Départ,246
9,9,Arrivée,522
9,9,Départ,125
9,10,Arrivée,161
9,10,Départ,192
9,11,Arrivée,216
9,11,Départ,654
9,12,Arrivée,148
9,12,Départ,201
9,13,Arrivée,172
9,13,Départ,165
9,14,Arrivée,433
9,14,Départ,150
9,15,Arrivée,151
9,15,Départ,128
9,16,Arrivée,251
9,16,Départ,387
9,17,Arrivée,293
9,17,Départ,185
9,18,Arrivée,296
9,18,Départ,236
9,19,Arrivée,49
9,19,Départ,266
9,20,Arrivée,95
9,20,Départ,308
9,21,Arrivée,158
9,21,Départ,44
9,22,Arrivée,851
9,22,Départ,104
9,23,Arrivée,57
9,23,Départ,64
10,0,Départ,124
10,1,Départ,12
10,2,Départ,34
10,6,Arrivée,51
10,6,Départ,7
10,7,Arrivée,86
10,7,Départ,426
10,8,Arrivée,54
10,8,Départ,293
10,9,Arrivée,504
10,9,Départ,126
10,10,Arrivée,181
10,10,Départ,185
10,11,Arrivée,216
10,11,Départ,604
10,12,Arrivée,152
10,12,Départ,228
10,13,Arrivée,205
10,13,Départ,197
10,14,Arrivée,473
10,14,Départ,148
10,15,Arrivée,149
10,15,Départ,165
10,16,Arrivée,252
10,16,Départ,401
10,17,Arrivée,290
10,17,Départ,162
10,18,Arrivée,327
10,18,Départ,231
10,19,Arrivée,50
10,19,Départ,282
10,20,Arrivée,121
10,20,Départ,333
10,21,Arrivée,173
10,21,Départ,38
10,22,Arrivée,834
10,22,Départ,110
10,23,Arrivée,56
10,23,Départ,71
11,0,Départ,6
11,1,Départ,3
11,2,Départ,8
11,3,Arrivée,1
11,4,Départ,1
11,5,Arrivée,1
11,6,Arrivée,17
11,6,Départ,1
11,7,Arrivée,30
11,7,Départ,404
11,8,Arrivée,65
11,8,Départ,188
11,9,Arrivée,453
11,9,Départ,93
11,10,Arrivée,100
11,10,Départ,76
11,11,Arrivée,182
11,11,Départ,507
11,12,Arrivée,155
11,12,Départ,71
11,13,Arrivée,343
11,13,Départ,156
11,14,Arrivée,115
11,14,Départ,156
11,15,Arrivée,64
11,15,Départ,370
11,16,Arrivée,189
11,16,Départ,106
11,17,Arrivée,200
11,17,Départ,92
11,18,Arrivée,270
11,18,Départ,119
11,19,Arrivée,53
11,19,Départ,252
11,20,Arrivée,62
11,20,Départ,221
11,21,Arrivée,280
11,21,Départ,44
11,22,Arrivée,485
11,22,Départ,72
11,23,Arrivée,22
11,23,Départ,109
12,0,Arrivée,1
12,2,Départ,8
12,6,Arrivée,3
12,7,Arrivée,30
12,7,Départ,410
12,8,Arrivée,83
12,8,Départ,205
12,9,Arrivée,485
12,9,Départ,99
12,10,Arrivée,139
12,10,Départ,99
12,11,Arrivée,183
12,11,Départ,551
12,12,Arrivée,184
12,12,Départ,171
12,13,Arrivée,355
12,13,Départ,160
12,14,Arrivée,178
12,14,Départ,154
12,15,Arrivée,90
12,15,Départ,363
12,16,Arrivée,280
12,16,Départ,113
12,17,Arrivée,252
12,17,Départ,166
12,18,Arrivée,297
12,18,Départ,119
12,19,Arrivée,60
12,19,Départ,271
12,20,Arrivée,65
12,20,Départ,248
12,21,Arrivée,262
12,21,Départ,63
12,22,Arrivée,514
12,22,Départ,86
12,23,Arrivée,18
12,23,Départ,105
